,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
169,Benin,27990,0,163,0.0,27825,0,2,0,2189,13,604310,47268,12784726,Africa,2023-02-22
170,Somalia,27324,0,1361,0.0,13182,0,12781,0,1622,81,400466,23778,16841795,Africa,2023-02-22
171,Congo,25375,0,386,0.0,24006,0,983,0,4377,67,347815,59991,5797805,Africa,2023-02-22
172,Solomon Islands,24575,0,153,0.0,0,0,0,1,34077,212,0,0,721159,Australia/Oceania,2023-02-22
173,Micronesia,23671,0,60,0.0,0,0,0,1,201474,511,54967,467848,117489,Australia/Oceania,2023-02-22
174,San Marino,23536,0,122,0.0,23276,0,138,4,690509,3579,157634,4624732,34085,Europe,2023-02-22
175,Timor-Leste,23418,0,138,0.0,23102,0,178,0,17101,101,278529,203391,1369429,Asia,2023-02-22
176,Burkina Faso,22056,0,396,0.0,21596,0,64,0,998,18,248995,11265,22102838,Africa,2023-02-22
177,Liechtenstein,21393,4,89,0.0,21280,0,24,0,557298,2318,112457,2929559,38387,Europe,2023-02-22
178,Gibraltar,20420,0,111,0.0,16579,0,3730,0,605863,3293,534283,15852213,33704,Europe,2023-02-22
179,Grenada,19680,0,238,0.0,19358,0,84,4,173430,2097,182981,1612523,113475,North America,2023-02-22
180,Bermuda,18799,8,160,1.0,18632,5,7,0,303508,2583,1027337,16586270,61939,North America,2023-02-22
181,Nicaragua,18491,0,225,0.0,4225,0,14041,0,2728,33,0,0,6779100,North America,2023-02-22
182,South Sudan,18368,0,138,0.0,18115,0,115,1,1581,12,410280,35313,11618511,Africa,2023-02-22
183,Tajikistan,17786,0,125,0.0,17264,0,397,0,1786,13,0,0,9957464,Asia,2023-02-22
184,Equatorial Guinea,17229,7,183,0.0,16907,0,139,5,11512,122,365697,244342,1496662,Africa,2023-02-22
185,Tonga,16801,0,13,0.0,15638,0,1150,0,155927,121,535009,4965327,107749,Australia/Oceania,2023-02-22
186,Samoa,16607,13,29,0.0,1605,0,14973,0,82116,143,187397,926612,202239,Australia/Oceania,2023-02-22
187,Monaco,16106,2,67,0.0,15992,0,47,4,404846,1684,78646,1976875,39783,Europe,2023-02-22
188,Dominica,15760,0,74,0.0,15673,0,13,0,217848,1023,229344,3170187,72344,North America,2023-02-22
189,Djibouti,15690,0,189,0.0,15427,0,74,0,15441,186,305941,301094,1016097,Africa,2023-02-22
190,Marshall Islands,15598,0,17,0.0,15528,0,53,0,259720,283,0,0,60057,Australia/Oceania,2023-02-22
191,CAR,15368,0,113,0.0,15200,0,55,2,3063,23,81294,16205,5016678,Africa,2023-02-22
192,Gambia,12586,0,372,0.0,12189,0,25,0,4919,145,155686,60851,2558482,Africa,2023-02-22
193,Saint Martin,12257,10,63,0.0,1399,0,10795,7,308507,1586,112382,2828643,39730,North America,2023-02-22
194,Vanuatu,12014,0,14,0.0,11976,0,24,0,37330,44,24976,77606,321832,Australia/Oceania,2023-02-22
195,Greenland,11971,0,21,0.0,2761,0,9189,4,210117,369,164926,2894810,56973,North America,2023-02-22
196,Yemen,11945,0,2159,0.0,9124,0,662,23,383,69,329592,10579,31154867,Asia,2023-02-22
